Publication Type,Title,Authors,Creation Date
Consultant Report,Recent Progress in Impurity Removal During REE Processing: Literature Review,CERCL Ltd. (U of T),2019-06-20
Consultant Report,Updated Literature Review on Acid Baking and Leaching for REE,CERCL Ltd.,2019-06-20
Consultant Report,Benchmarking of REE Separation in Canada,Laval University,2019-06-19
Consultant Report,NRCan-5000033217 Second Pilot Smelting Campaign of Ring of Fire Chromite Ore,SPS Expert Process Solutions,2019-06-19
Consultant Report,REE Processing Reagent Regeneration Review,Kingston Process Metallurgy Inc.,2019-06-19
Consultant Report,Standardized Method for Dynamic Pull Testing of Rockbolts Suggested to the ISRM,"Renée Royer , Devan MacDonald",2019-06-05
Consultant Report,Water Balance Model for a Mineral Processing Plant ,Saviz Mortazavi,2019-03-28
Consultant Report,Technico-economic Assessment Study for Production of Bioenergy at Vale,ABRI-Tech,2018-05-01
Consultant Report,"Review and Analysis of International Experiences in Chromite Mining and Ferrochrome Production, and Implications for the Development of Canadian Deposits",Hatch,2016-06-15
Consultant Report,Summary and Analysis of the Current State of Developments for the Exploitation of the Ring of Fire Deposits and Opportunities for Downstream Value ,Hatch,2016-06-15
Consultant Report,"The State of Global Rare Earths Industry: A review of market, production, processing and associated environmental issues",NRC,2016-05-25
Consultant Report,North American Chromite and Ferrochrome Market Study,Hatch,2016-04-27
Consultant Report,Literature Review: Solid Phase Separation of Lanthanides and Actinides,"Nicolas Reynier, JF Fiset, Laurence Whitty-Léveillé, Dominic Lariviere",2016-04-15
Consultant Report,"Review of Separation Technologies for REE, Techno Economic Analysis and Gaps (2016) - Laval University",Laval University,2016-04-07
Consultant Report,Literature Review and Gaps Analysis of Rare Earth Element (REE) Metallurgical Extraction Methods,SGS Canada,2016-04-01
Consultant Report,A Study of Coarse Ore Pre-Concentration and Potential Applicability to Canadian Rare Earth Deposits,J.R. Goode & Associates,2016-03-31
Consultant Report,Literature Review of Naturally Occurring Radioactive Materials (NORM) and their Implications for a Developing Rare Earth Element Industry in Canada,Golder Associates Ltd,2016-03-31
Consultant Report,Literature Review of Potential Ecotoxicological Effects Arising from Rare Earth Element (REE) Processing,Golder Associates Ltd,2016-03-31
Consultant Report,Literature Review of the Concentration of Rare Earth Elements (REE) Through Flotation Processes,Université Laval,2016-03-31
Consultant Report,Literature Review on Secondary Sources of Rare Earth Elements (REE),Golder Associates Ltc,2016-03-31
Cost Recovery (CR) report,Application of the Environmental Transformation and Removal Protocol on Cadmium for Chronic Aquatic Hazard Classification,Philippa Huntsman; Ted Mackinnon,2021-02-09
Cost Recovery (CR) report,Laboratory Testing of Normet Canada's Onaping Type and Leinster Style Self-Drilling Dynamic Bolts (SDDB) in Injectable Urea-Silicate Resin,"Devan MacDonald, Steve Gaines",2021-02-05
Cost Recovery (CR) report,Preliminary report on the assessment of the environmental transformation and removal of zinc from the water column,Philippa Huntsman,2021-01-19
Cost Recovery (CR) report,Assessing the Environmental Transformation and Removal of Zinc from the Water-Column for Chronic Aquatic Hazard Classification, Philippa Huntsman and Ted MacKinnon,2020-12-14
Cost Recovery (CR) report,Classification of metals and inorganic metal compounds for long-term environmental hazard:,"Stijn Baken and others, Philippa Huntsman",2020-12-14
Cost Recovery (CR) report,Standard Operating Procedure for Assessing the Environmental Transformation and Removal of Metals from the Water-Column for Aquatic Hazard Classification,Philippa Huntsman,2020-12-14
Cost Recovery (CR) report,PROFICIENCY TESTING PROGRAM FOR MINERAL ANALYSIS LABORATORIES –       April 2020 CYCLE (FINAL REPORT) ,diane desroches,2020-12-08
Cost Recovery (CR) report,"Évaluation des plans d’action et de fermeture pour la protection de l’environnement à l’exploitation minière du Mont-Wright, Fermont, Québec","Nicolas Reynier, Jennifer Cole, Bill Price, Julie Deriaz, Nicolas Reynier",2020-11-04
Cost Recovery (CR) report,Laboratory Testing of DSI Underground Canada's Dynamix Bolts,,2020-10-07
Cost Recovery (CR) report,:  PROFICIENCY TESTING PROGRAM FOR MINERAL ANALYSIS LABORATORIES –   April 2020CYCLE (FINAL REPORT) ,Diane Desroches,2020-06-22
Cost Recovery (CR) report,Laboratory Testing of BASF MasterRoc RBA 380 Resin on Hollow and Solid Rock-Bolts,Renée Royer et Devan MacDonald,2020-01-27
Cost Recovery (CR) report,Laboratory Testing of BASF MasterRoc RBA 387 Resin on Hollow and Solid Rock-Bolts,Renée Royer et Devan MacDonald,2020-01-27
Cost Recovery (CR) report,PROFICIENCY TESTING PROGRAM FOR MINERAL ANALYSIS LABORATORIES –,Diane Desroches,2019-12-16
Cost Recovery (CR) report,Laboratory Testing of DSI Underground Canada’s Dynamix Bolts,Renée Royer,2019-12-05
Cost Recovery (CR) report,Application of the Transformation/Dissolution Protocol Extension (T/DP-E) to low concentration copper solutions,Philippa Huntsman,2019-10-08
Cost Recovery (CR) report,Dynamic And Static Behaviours of the Normet Canada Pumpable Resin,Renée Royer,2019-07-19
Cost Recovery (CR) report,ProficiencyTesting Program for Mineral Analysis Laboratories- April 2019 Cycle (Final Report),Diane Desroches,2019-05-31
Cost Recovery (CR) report,In-Service diesel engine emissions study in support of CSA Standards Development,"David Young, Brent Rubeli",2019-04-29
Cost Recovery (CR) report,High Pulse Voltage Pre-Weakening on Goldex Ore,"Tony Di-Feo, Pejman Nekoovaght, Rolando Lastra, Marck Betournay",2019-04-03
Cost Recovery (CR) report,Vale Commercial Diesel Particulate Filter (DPF) Assessment ,Brent Rubeli,2019-02-07
Cost Recovery (CR) report,Récupération de chaleur sur l’eau de procédé d’un concentrateur minier,Yan Germain,2019-01-24
Cost Recovery (CR) report,Récupération de chaleur sur l’eau de procédé d’un concentrateur minier ,Yan Germain,2019-01-16
Cost Recovery (CR) report,Proficiency testing program for mineral analysis laboratories-Sept. 2018 Cycle (Final Report),Diane Desroches,2018-12-14
Cost Recovery (CR) report,Impact of three low-level biodiesel blended fuels on exhaust emissions from a mining diesel engine.,Brent Rubeli,2018-12-05
Cost Recovery (CR) report,Testing of Full-Scale Micro-Encapsulation Mortars Produced Using Attrition Vessels,"A. Bilodeau, A. Demers, M. Bilodeau, J. Kruszewski / C. Laviolette",2018-11-22
Cost Recovery (CR) report,Laboratory Testing of Rock Solutions North EXI Bolt Generation 1,"Renee Royer, Devan MacDonald",2018-10-23
Cost Recovery (CR) report,Laboratory Testing of Rock Solutions North EXI Bolt Generation 2,"Renée Royer, Devan MacDonald",2018-10-23
Cost Recovery (CR) report,"Legacy Cemented Radioactive Waste Management at Pilot scale, Quarterly report Q1 and Q2","Nicolas Reynier, J.F. Fiset, Alain Bilodeau",2018-10-15
Cost Recovery (CR) report,Dynamic Behaviours of the Normet Asia-Pacific Dbolts,Renée Royer,2018-07-12
Cost Recovery (CR) report,Laboratory Testing of College Resources & Civil Engineering,"Renée Royer, Devan MacDonald",2018-07-11
Cost Recovery (CR) report,Laboratory Testing of Normet Asia Pacific D-Bolts,"Renée Royer, Devan MacDonald",2018-07-11
Cost Recovery (CR) report,The Feasibility of Separation of Rare Earth Elements by Use of Electrodialysis,Sanaz Mosadeghsedghi,2018-07-09
Cost Recovery (CR) report,Dynamic and Static Behaviours of the Mansour Mining Technologies Versa Bolts,"Renee Royer, Devan MacDonald",2018-06-06
Cost Recovery (CR) report,Dynamic and Static Behaviours of the DSI Underground Canada Yield-Lok Bolt,"Renée Royer, Devan MacDonald",2018-05-16
Cost Recovery (CR) report,Proficiency Testing Program for Mineral Analysis Laboratories - April 2018 Cycle (Final Report),Diane Desroches,2018-05-14
Cost Recovery (CR) report,Metal removal from the Water Column: Rationale for selecting test parameters in the extended transformation-dissolution protocol ,P. Huntsman,2018-04-17
Cost Recovery (CR) report,Summary of Recent Science:  Metal Removal from Waters,"External Authors, Philippa Huntsman",2018-03-01
Cost Recovery (CR) report,Characterization of surrogate cemented radioactive waste-Effect of Aging,Jean Francois Fiset,2018-02-14
Cost Recovery (CR) report,Technology Optimization – CRW Research: Performance of Cementing Matrices,A. Bilodeau,2018-02-14
Cost Recovery (CR) report,Laboratory Testing of Normet Scandinavia DBolts and SDDB Bolts,"Renée Royer, Devan MacDonald",2018-01-31
Cost Recovery (CR) report,Final Report: Combining grinding and leaching of surrogate cemented radioactive wastes,Nicolas Reynier,2018-01-11
Cost Recovery (CR) report,Proficiency testing program for mineral analysis laboratories-Sept. 2017 Cycle (Final Report),Diane Desroches,2018-01-10
Cost Recovery (CR) report,"Rapid Removal and Resuspension Experiments for Copper, Cobalt and Strontium for Aquatic Hazard Classification","Philippa Huntsman, Rob Beaudoin",2018-01-08
Cost Recovery (CR) report,Laboratory Testing of Laurential University's Versa-S and MCB-S Yielding,"Renée Royer, Devan MacDonald",2017-12-18
Cost Recovery (CR) report,Laboratory Testing of Laurentian University’s Versa-S and MCB-S Yielding Bolts  ,"Renée Royer, Devan MacDonald",2017-12-18
Cost Recovery (CR) report,Technologies Optimization - CRW Researc Task B - Plastic and Metal Separation,"Magella Bilodeau, André Demers, Nabil Bouzoubaa, Marc Chapman",2017-12-08
Cost Recovery (CR) report,Évaluation de la performance du groupe d'équipements miniers S.A.M.S.,André Harvey,2017-10-10
Cost Recovery (CR) report,Rapid Removal and Re-suspension Data and Figures for Co and Cu,Philippa Huntsman-Mapila,2017-10-03
Cost Recovery (CR) report,Veille technologique sur véhicules miniers à batteries,André Harvey,2017-08-08
Cost Recovery (CR) report,Laboratory Testing of RocBolt Technologies Yield-Lok Bolts ,"Renée Royer, Ted Anderson",2017-07-04
Cost Recovery (CR) report,Laboratory Testing of New Concept Mining Par-1 and MP-1 Rock Bolts ,"Renée Royer, Ted Anderson",2017-05-24
Cost Recovery (CR) report,Proficiency Testing Program for Mineral Analysis Laboratories - April 2017 Cycle - final report,Diane Desroches,2017-05-19
Cost Recovery (CR) report,Dynamic and Static Behaviours of the TONRY Mining Safety Support Technology E-Bolts ,"Renée Royer, Ted Anderson",2017-05-17
Cost Recovery (CR) report,Mineralogical characterization of sediment and tailings samples from an oil sands operation: Implications on the potential sources and releases of arsenic to groundwater ,"Dogan Paktunc, Derek Smith",2017-04-26
Cost Recovery (CR) report,Technologies Optimization - CRW Research Q3 Report,"N. Bouzoubaâ, J-F. Fiset, M. Bilodeau, N. Reynier, A. Bilodeau",2017-04-06
Cost Recovery (CR) report,Technologies Optimization – CRW Research Quarterly Report – Q3 ,Nabil Bouzoubaa,2017-04-04
Cost Recovery (CR) report,Verification de la machine d'extraction a tambour double Nordberg serie 31451 du puits #1 de la mine Seleine,Louis Germain,2017-04-04
Cost Recovery (CR) report,Vérification de la machine d'extraction à poulie d'adhérence ASEA série 391 du puits #2 de la mine Seleine,Louis Germain,2017-04-03
Cost Recovery (CR) report,Verification de la machine d'extraction a tambour simple Tiley serie 1692 du puits #2  de la mine Goldex,Louis Germain,2017-03-29
Cost Recovery (CR) report,Vérification de la machine d’extraction à tambour double Nordberg  série 31451 du puits #1 de la mine Seleine. ,Louis Germain,2017-03-24
Cost Recovery (CR) report,Vérification de la machine d'extraction à tambour double Nordberg série 7030-1161 de la mine Lapa,Louis Germain,2017-03-01
Cost Recovery (CR) report,Laboratory Testing of DSI Underground Canada Yield-Lok Bolts ,Renée Royer,2017-02-24
Cost Recovery (CR) report,Accelerated leaching and recovery process for actinides-free separation of rare earth element ,Nicolas Reynier,2017-02-16
Cost Recovery (CR) report,Assessment of reproductive toxicity of groundwater to fathead minnow (Pimephales promelas) using a 7- and 21-day short-term reproductive bioassay ,"Carrie Rickwood, Melissa Desforges",2017-02-08
Cost Recovery (CR) report,Vérification de la machine d'extraction à tambour double Bertram Nordberg sérei 31269 de la mine Kiena,Louis Germain,2017-02-07
Cost Recovery (CR) report,Proficiency Testing Program for Mineral Analysis Laboratories - September 2016 Cycle - final report,Diane Desroches,2017-01-25
Cost Recovery (CR) report,Sales Review for FY 2015-2016 for the Canadian Certified Reference Materials Project and Proficiency Testing Program – Mineral Analysis Laboratories  ,Maureen Leaver,2017-01-20
Cost Recovery (CR) report,Vérification de la machine d’extraction à tambour double Vulcan série 1485 de la mine Geant Dormant. ,Louis Germain,2017-01-11
Cost Recovery (CR) report,Examination of the Transformation/Dissolution Characteristics of Tungsten Disulphide for Aquatic Hazard Classfication ,Philippa Huntsman-Mapila,2017-01-10
Cost Recovery (CR) report,Proposal for the 2017 – 2022 Production Plan for the Canadian Certified Reference Materials Project ,Maureen Leaver,2017-01-06
Cost Recovery (CR) report,Vérification de la machine d’extraction à tambour double Bertram Nordberg série 13303 de la mine Beaufor. ,Louis Germain,2017-01-06
Cost Recovery (CR) report,Technologies Optimization - CRW Research Q2 Report,"N. Bouzoubaâ, J-F. Fiset, M. Bilodeau, N. Reynier, A. Bilodeau",2017-01-04
Cost Recovery (CR) report,Respirable Crystalline Silica Sampling in Saskatchewan Potash Mines  ,Michel Grenier,2016-12-08
Cost Recovery (CR) report,Method Optimization for determining the removal of metals from the water column under Transformation/Dissolution conditions for hazard classification ,Philippa Huntsman-Mapila,2016-12-01
Cost Recovery (CR) report,"Vérification de la machine d’extraction à tambour double Hobgard, Fulleton and Barclay série 35301 de la mine Niobec. ",Louis Germain,2016-11-17
Cost Recovery (CR) report,Vérification de la machine d’extraction à tambour double Markham série B15024 de la mine Eleonore puits #2 Production ,Louis Germain,2016-11-17
Cost Recovery (CR) report,Laboratory Testing of DSI Holding GmbH Dynamic Omega Rock Bolts,Renée Royer,2016-11-03
Cost Recovery (CR) report,Laboratory Testing of new Concept Mining Par-1 and MP-1 Rock Bolts,Renée Royer,2016-11-03
Cost Recovery (CR) report, Application of the Transformation/Dissolution Protocol to determine the rate and extent of removal of metals from the water column for chronic hazard classification,Philippa Huntsman-Mapila,2016-10-26
Cost Recovery (CR) report,Laboratory Testing of PRETEC Yielding Rock Bolt,Renée Royer,2016-10-17
Cost Recovery (CR) report," Evaluation of the CanmetENERGY prototype catalyzed diesel particulate filter: determination of the balance point temperature, L. Nossova, G. Caravaggio, B. Rubeli and D.Young (Natural Resources Canada)",Brent Rubeli,2016-10-06
Cost Recovery (CR) report,From organics coversto amended tailing … a sustainable approach?,Suzanne Beauchemin,2016-10-03
Cost Recovery (CR) report,Vérification de la machine d’extraction  à tambour double Bertram Nordberg série 13845 de la mine Bachelor,Louis Germain,2016-09-22
Cost Recovery (CR) report,Laboratory Testing of Infra Management Yielding Rock Bolt,Renée Royer,2016-09-15
Cost Recovery (CR) report,Laboratory Testing of Jennmar Australia Cable Bolt,Renée Royer,2016-09-15
Cost Recovery (CR) report,Vérification de la machine d’extraction à tambour double ASEA  série 390,Louis Germain,2016-07-12
Cost Recovery (CR) report,"CHARACTERIZATION, COMMINUTION, LEACHING AND ENCAPSULATION METHODS OF SURROGATE CEMENTED RADIOACTIVE WASTES",Jean François Fiset,2016-07-05
Cost Recovery (CR) report,Vérification de la machine d’extraction à tambour double Bertram Nordberg BLH série 14122,Louis Germain,2016-07-05
Cost Recovery (CR) report,Piolt Scale Investigation Of Ore Traking Option In A Silo,Magela Bilodeau,2016-06-28
Cost Recovery (CR) report,Vérification de la machine d’extraction à tambour double Davy Markham série B85014,Louis Germain,2016-06-12
Cost Recovery (CR) report,Vérification de la machine d’extraction Bertram Nordberg série 13082,Louis Germain,2016-06-12
Cost Recovery (CR) report,Vérification de la machine d’extraction à poulie d’adhérence Westinghouse série 00MA173,Louis Germain,2016-06-11
Cost Recovery (CR) report,Vérification de l’installation motorisée de transport de personnel Davy Markham série B95023 du puits no 2 de production,Louis Germain,2016-06-10
Cost Recovery (CR) report,Proficiency Testing for Mineral Analysis Laboratories April 2016 (final report),Diane Desroches,2016-05-16
Cost Recovery (CR) report,"Determination of Balance Point Temperature,  CanmetENERGY Catalyzed Diesel Particulate Filter (CDPF)",David Young,2016-05-03
Cost Recovery (CR) report,Performance Evaluation of Schauenburg Industries Ltd. Fiberglass Ventilation Ducting – Leakage assessment,Michelle Levesque,2016-05-03
Cost Recovery (CR) report,Performance evalutation of G+ Speed Air Duct polyethylene ventilation ducting - Phase II,Stephen Hardcastle,2016-05-03
Cost Recovery (CR) report,LONG TERM PERFORMANCE OF CRW RESEARCH TASK.B1 - FINE-TUNING OF THE COMMINUTION STRATEGY,Magela Bilodeau,2016-04-08
Cost Recovery (CR) report,Laboratory Evaluation of Diesel Oxidation Catalysts for NO2 Formation,Mahe Gangal,2016-04-04
Cost Recovery (CR) report,Laboratory Testing of Static and Dynamic Behaviours of Atlas Copco MN24 Swellex Bolts with Sleeves,Renée Royer,2016-03-11
Cost Recovery (CR) report,Evaluation of Catalytic Exhaust Products DOCs for low  or No NO2 Production,Mahe Gangal,2016-03-10
Cost Recovery (CR) report,Laboratory Testing of RocBolt Technologies Yield-Lok Bolt (Jennmar),Renée Royer,2016-03-07
Cost Recovery (CR) report,Sensitivity Study on Ventilation Parameter Changes – Application in a Demand Based Ventilation System ,Gary Li,2016-02-12
Cost Recovery (CR) report,Processing Flowsheet Development for the Montviel Carbonaceous Rare Earth Bearing Ore ,Tesfaye Negeri,2016-02-05
Cost Recovery (CR) report,Vérification de la machine d’extraction Davy Markham série B15026,Louis Germain,2016-01-19
Cost Recovery (CR) report,Transformation/Dissolution Characteristics of Nickel Oxide Black and Three Nickel Concentrates,Jim Skeaff,2015-12-21
Cost Recovery (CR) report,Laboratory Testing of Static and Dynamic Behaviours of,Renée Royer,2015-12-04
Cost Recovery (CR) report,"Solidification of the Residue from a Process for the Extraction or Recovery of Cesium, Mercury and Uranium from Cemented Radioactive Waste",Alain Bilodeau,2015-11-19
Cost Recovery (CR) report,Proficiency Testing Mineral for Mineral Analysis Laboratories - September 2015 cycle (final report),"Desroches, Diane",2015-11-18
Cost Recovery (CR) report,Laboratory Testing on JENNMAR Yield Lok Bolts,Renée Royer,2015-11-04
Cost Recovery (CR) report,K factor performance evaluation of MECANIVENT® co-polymer ventilation ducting,Stephen Hardcastle,2015-10-29
Cost Recovery (CR) report,Vérification de la machine d’extraction Wild / Markham série 407,Louis Germain,2015-10-29
Cost Recovery (CR) report,"Vérification de la machine d’extraction Fullerton, Hodgart & Barclay série 35301",Louis Germain,2015-10-23
Cost Recovery (CR) report,Cemented Radioactive Waste – Confirmation Tests Quarterly Report – Q2,Jean François Fiset,2015-08-28
Cost Recovery (CR) report,Vérification de l’installation motorisée de transport de personnel Davy Markham série B95022 du puits d’exploration,Louis Germain,2015-07-17
Cost Recovery (CR) report,Development of Concrete and Grout for the Macro-Encapsulation of Cemented Radioactive Waste,Alain Bilodeau,2015-07-02
Cost Recovery (CR) report,Micro-Encapsulation of Cemented Radioactive Waste,Alain Bilodeau,2015-07-02
Cost Recovery (CR) report,Vérification de la machine d’extraction Canadian Ingersoll Rand série 1560 du puits no 2,Martin Cote,2015-06-15
Cost Recovery (CR) report,Vérification de l’installation motorisée de transport de personnes G.L.Tiley série 1692 du puits no 2,Martin Cote,2015-06-15
Cost Recovery (CR) report,Mine Kiena B&N série 31269,"Germain, Louis",2015-04-23
Cost Recovery (CR) report,Laboratory Testing of Static and Dynamic Behaviours of Garock Hybrid Bolts,"Voyzelle, Benoit",2015-04-22
Cost Recovery (CR) report,Géant Dormant Vulcan série 1485,"Germain, Louis",2015-04-16
Cost Recovery (CR) report,Lac Bachelor Bertram Nordberg série 13845,"Germain, Louis",2015-04-16
Cost Recovery (CR) report,Basic Energy Consumption Model of Conventional and Thermally-Fragmented Gold-Bearing Quartz Veins,"Bétournay, Marc",2015-03-31
Cost Recovery (CR) report,Energy Savings Associated with the Application of the SELFRAG Technology,"Bétournay, Marc",2015-03-31
Cost Recovery (CR) report,"Evaluating the Selfrag Process for Energy Efficiency Advantages in Thermal Fragmentation Continuous Mining of Gold-Bearing Quartz Veins, Report 1 Basic Energy Consumption Model of Conventional and Thermally-Fragmented Gold-Bearing Quartz Veins","Bétournay, Marc",2015-03-31
Cost Recovery (CR) report,"Evaluating the Selfrag Process for Energy Efficiency Advantages in Thermal Fragmentation Continuous Mining of Gold-Bearing Quartz Veins, Report 2 Energy Savings Associated with the Application of the Selfrag Technology","Bétournay, Marc",2015-03-31
Cost Recovery (CR) report,"Evaluating the Selfrag Process for Energy Efficiency Advantages in Thermal Fragmentation Continuous Mining of Gold-Bearing Quartz Veins, Report 3 Mine Operation Considerations for Selfrag System Application in Conventional and Thermally-Fragmented Gold-Be","Bétournay, Marc",2015-03-31
Cost Recovery (CR) report,Mine Operation Considerations for SELFRAG System Application in Conventional and Thermally-Fragmented Gold-Bearing Quartz Veins,"Bétournay, Marc",2015-03-31
Cost Recovery (CR) report,Transformation/dissolution studies on two cobalt alloys at pH 6,"Huntsman-Mapila, Philippa",2015-03-31
Cost Recovery (CR) report,Cemented Radioactive Waste - Long Term Performance - Task C Process Optimization and Validation,"Reynier, Nicolas",2015-03-17
Cost Recovery (CR) report,Laboratory Testing of Static and Dynamic Behaviours of Atlas Copco MN24 Swellex Coated Bolts,"Voyzelle, Benoit",2015-03-11
Cost Recovery (CR) report,Bousquet 2 Nordberg série 7030-1098,"Germain, Louis",2015-03-05
Cost Recovery (CR) report,Cemented Radioactive Waste - Confirmation Tests Quarterly Report - Q1,"Bouzoubaa, Nabil",2015-03-03
Cost Recovery (CR) report,Cemented Radioactive Waste - Long Term Performance Quarterly Report - Q6,"Bouzoubaa, Nabil",2015-03-03
Cost Recovery (CR) report,Dynamic Behaviour of New Concept Mining Par 1 Bolts,"Voyzelle, Benoit",2015-03-02
Cost Recovery (CR) report,LARONDE 2 Davy Markham série B85006,"Germain, Louis",2015-02-17
Cost Recovery (CR) report,LARONDE 2 Kvaerner Markham série T65009,"Germain, Louis",2015-02-17
Cost Recovery (CR) report,WESTWOOD Nordberg série 7030-1081,"Germain, Louis",2015-02-02
Cost Recovery (CR) report,ELEONORE Markham série B15024,"Germain, Louis",2015-01-13
Cost Recovery (CR) report,ELEONORE Markham série B95023,"Germain, Louis",2015-01-13
Cost Recovery (CR) report,Feasibility of Acti-Gel as a Cost-effective Additive for Hydraulic Backfill Applications.  Summary of Laboratory Strength Tests Specific to Vale’s Creighton Mine,"Bedard, Ian",2014-12-22
Cost Recovery (CR) report,WESTWOOD Markham série B85013,"Germain, Louis",2014-12-16
Cost Recovery (CR) report,CasaBerardi Nordberg série 14122,"Germain, Louis",2014-12-08
Cost Recovery (CR) report,Production-Scale Validation of Liquid Wastes Cementration Formulations: Final Report,"Bilodeau, Alain",2014-12-08
Cost Recovery (CR) report,Investigation of Geotextiles to prevent loss of fines in hydraulic backfill stoping at Vale Canada Ltd.,"Bedard, Ian",2014-11-26
Cost Recovery (CR) report,GOLDEX Westinghouse série 00MA173,"Germain, Louis",2014-11-24
Cost Recovery (CR) report,Proficiency Testing Program from Mineral Analysis Laboratories - September 2014 Cycle (Final Report),"Desroches, Diane",2014-11-19
Cost Recovery (CR) report,Transformation/Dissolution Characteristics of Nickel Oxide Black and Three Nickel Concentrates,"Skeaff, Jim",2014-11-12
Cost Recovery (CR) report,WESTWOOD Markham série B85014,"Germain, Louis",2014-11-12
Cost Recovery (CR) report,Cemented Radioactive Waste – Long Term Performance Quarterly Report – Q5,"Bouzoubaa, Nabil",2014-10-28
Cost Recovery (CR) report,Performance Evaluation of G+ Speed Air Duct Polyethylene Ventilation Ducting,"Hardcastle, Stephen",2014-10-21
Cost Recovery (CR) report,SELEINE ASEA série 391,"Germain, Louis",2014-10-14
Cost Recovery (CR) report,SELEINE BN série 31451,"Germain, Louis",2014-10-14
Cost Recovery (CR) report,NIOBEC FHB série 35301,"Germain, Louis",2014-09-30
Cost Recovery (CR) report,NIOBEC Hep série 20299,"Germain, Louis",2014-09-30
Cost Recovery (CR) report,Resistance for Liquid Wastes Cementation Formulations to Freezing and Thawing Cycling,"Bilodeau, Alain",2014-09-15
Cost Recovery (CR) report,Eleonore série B95022,"Germain, Louis",2014-08-27
Cost Recovery (CR) report,Laronde Markham série B10010,"Germain, Louis",2014-07-28
Cost Recovery (CR) report,Laronde Markham série M407,"Germain, Louis",2014-07-28
Cost Recovery (CR) report,Pre-/Post-SCR Installation Assessment of Ambient NO/NO2 and DPM Levels at Goderich Mine,"Hardcastle, Stephen",2014-07-28
Cost Recovery (CR) report,Ventilation Optimization at Cigar Lake Mine - Cameco Corporation,"Li, Gary",2014-07-23
Cost Recovery (CR) report,Cemented Radioactive Waste - Long Term Performance Quarterly Report - Q3,"Bouzoubaa, Nabil",2014-07-22
Cost Recovery (CR) report,Cemented Radioactive Waste - Long Term Performance Quarterly Report - Q4,"Bouzoubaa, Nabil",2014-07-22
Cost Recovery (CR) report,Éléonore B95021,"Germain, Louis",2014-07-17
